algorithm,df
p35pf_double,1.68938e-13
p35pf_double,1.69389e-14
p35pf_double,8.35073e-13
p35pf_double,3.71343e-15
p35pf_double,1.99051e-15
p35pf_double,7.04466e-15
p35pf_double,1.44128e-15
p35pf_double,6.87009e-15
p35pf_double,9.74991e-14
p35pf_double,1.83468e-15
p35pf_double,2.493e-13
p35pf_double,1.16175e-14
p35pf_double,2.55557e-15
p35pf_double,7.49665e-16
p35pf_double,5.08707e-13
p35pf_double,3.05913e-16
p35pf_double,5.09765e-14
p35pf_double,8.48303e-14
p35pf_double,5.3093e-11
p35pf_double,1.69461e-13
p35pf_double,1.08916e-13
p35pf_double,6.87044e-14
p35pf_double,1.5333e-11
p35pf_double,1.26722e-14
p35pf_double,1.20193e-14
p35pf_double,8.37179e-13
p35pf_double,9.89334e-15
p35pf_double,6.46294e-15
p35pf_double,1.48595e-14
p35pf_double,1.05413e-14
p35pf_double,1.01003e-14
p35pf_double,5.23282e-14
p35pf_double,2.90063e-14
p35pf_double,4.92147e-13
p35pf_double,9.37924e-15
p35pf_double,8.2808e-13
p35pf_double,2.21826e-15
p35pf_double,6.25309e-15
p35pf_double,1.89994e-14
p35pf_double,3.21529e-14
p35pf_double,4.65262e-14
p35pf_double,1.42608e-15
p35pf_double,7.6801e-13
p35pf_double,6.48127e-15
p35pf_double,3.97948e-13
p35pf_double,1.63093e-14
p35pf_double,2.86389e-12
p35pf_double,3.53428e-15
p35pf_double,3.8557e-14
p35pf_double,2.28934e-14
p35pf_double,2.25615e-14
p35pf_double,4.50439e-13
p35pf_double,4.47704e-13
p35pf_double,9.23157e-14
p35pf_double,6.71107e-15
p35pf_double,5.04409e-14
p35pf_double,1.69423e-13
p35pf_double,4.11874e-11
p35pf_double,5.70727e-13
p35pf_double,4.31533e-12
p35pf_double,4.33703e-10
p35pf_double,3.67999e-15
p35pf_double,2.69007e-15
p35pf_double,7.92144e-14
p35pf_double,1.80559e-14
p35pf_double,4.51069e-15
p35pf_double,1.16643e-14
p35pf_double,4.33764e-16
p35pf_double,2.16629e-13
p35pf_double,1.86506e-15
p35pf_double,2.34449e-14
p35pf_double,2.0841e-15
p35pf_double,1.15378e-14
p35pf_double,3.21586e-15
p35pf_double,7.61284e-15
p35pf_double,4.06224e-14
p35pf_double,1.18052e-10
p35pf_double,1.49816e-12
p35pf_double,5.03257e-13
p35pf_double,2.73486e-14
p35pf_double,1.13369e-11
p35pf_double,1.51422e-14
p35pf_double,1.18153e-14
p35pf_double,4.25969e-14
p35pf_double,4.03337e-15
p35pf_double,1.34087e-13
p35pf_double,3.03397e-14
p35pf_double,2.92949e-11
p35pf_double,5.36335e-15
p35pf_double,3.08961e-14
p35pf_double,1.64683e-13
p35pf_double,2.61472e-13
p35pf_double,8.04293e-15
p35pf_double,5.23816e-14
p35pf_double,2.99731e-16
p35pf_double,1.25395e-14
p35pf_double,6.33654e-15
p35pf_double,1.03723e-15
p35pf_double,9.09979e-15
p35pf_double,7.93715e-15
p35pf_double,6.80413e-12
p35pf_double,1.8819e-13
p35pf_double,7.24691e-15
p35pf_double,4.12967e-15
p35pf_double,4.05209e-15
p35pf_double,9.714e-15
p35pf_double,3.90931e-12
p35pf_double,6.55719e-15
p35pf_double,2.92135e-15
p35pf_double,2.01577e-12
p35pf_double,1.65099e-11
p35pf_double,3.29336e-16
p35pf_double,1.20301e-15
p35pf_double,2.21021e-15
p35pf_double,2.19015e-14
p35pf_double,1.59689e-14
p35pf_double,1.27127e-13
p35pf_double,5.23939e-15
p35pf_double,6.43875e-16
p35pf_double,2.006e-15
p35pf_double,3.46024e-15
p35pf_double,5.73449e-15
p35pf_double,4.46831e-15
p35pf_double,3.04933e-13
p35pf_double,3.36246e-15
p35pf_double,4.22578e-16
p35pf_double,2.23132e-15
p35pf_double,1.51528e-15
p35pf_double,5.6141e-15
p35pf_double,4.98592e-14
p35pf_double,5.51002e-14
p35pf_double,7.32582e-14
p35pf_double,1.30239e-14
p35pf_double,8.99127e-16
p35pf_double,4.25104e-15
p35pf_double,1.15707e-14
p35pf_double,1.35327e-15
p35pf_double,6.67861e-14
p35pf_double,1.76363e-12
p35pf_double,3.06193e-14
p35pf_double,4.63096e-15
p35pf_double,8.78967e-09
p35pf_double,9.91046e-15
p35pf_double,4.498e-14
p35pf_double,1.46906e-15
p35pf_double,1.06311e-14
p35pf_double,1.03439e-15
p35pf_double,6.73906e-15
p35pf_double,5.11635e-15
p35pf_double,1.54405e-15
p35pf_double,2.63914e-15
p35pf_double,3.1339e-15
p35pf_double,0
p35pf_double,1.08806e-09
p35pf_double,1.31891e-14
p35pf_double,1.36508e-15
p35pf_double,5.86331e-16
p35pf_double,5.19419e-14
p35pf_double,1.75014e-15
p35pf_double,7.50772e-12
p35pf_double,4.14475e-15
p35pf_double,1.91391e-11
p35pf_double,8.55834e-16
p35pf_double,5.85305e-14
p35pf_double,4.08243e-14
p35pf_double,1.56954e-13
p35pf_double,4.8371e-10
p35pf_double,1.3569e-14
p35pf_double,2.8366e-14
p35pf_double,1.07161e-14
p35pf_double,2.77111e-15
p35pf_double,8.92238e-14
p35pf_double,1.02441e-09
p35pf_double,1.06573e-15
p35pf_double,2.03883e-13
p35pf_double,4.96447e-15
