f,algo
0.0040632606,p4p
0.0023262276,p4p
8.5369846911,real
0.0420437633,real
19.1036255108,real
0.0045491643,real
0.0087753626,real
0.0060156042,real
0.0160595538,real
0.0182432108,real
0.0028034025,real
0.0060854347,real
14792.9331867863,real
0.9870737250,real
0.0072361827,real
0.0104891188,real
0.0109764773,real
0.0020351338,p35p
0.0021415555,p35p
0.0064742328,p35p
0.0025584955,p35p
0.0022887966,p35p
0.0035017130,p35p
0.0052132080,p35p
0.0028733873,p35p
0.0017770975,p35p
0.0017800131,p35p
0.0039215686,p35p
0.0020351338,p4p
0.0021415555,p4p
0.0064742328,p4p
0.0025584955,p4p
0.0022887966,p4p
0.0035017130,p4p
0.0052132080,p4p
0.0028733873,p4p
0.0017770975,p4p
0.0017800131,p4p
0.0039215686,p4p
0.0018426999,real
0.0020059771,real
0.0062132809,real
0.0024564473,real
0.0035979299,real
0.0037160143,real
0.0026415920,real
0.0015380130,real
0.0016560974,real
0.0038443035,real
0.1863553801,p35p
0.2955411805,p35p
0.0966924826,p35p
0.0913208218,p35p
0.1043179564,p35p
0.0710369213,p35p
0.3602953401,p35p
0.4907532117,p35p
0.1371649944,p35p
1.1529413993,p35p
0.1341609623,p35p
153.4000594997,p35p
8.9106921504,p35p
0.5153824977,p35p
0.0901417853,p35p
0.0898999297,p35p
18.9347666794,p35p
0.7472510185,p35p
0.1841115056,p4p
0.0504391018,p4p
0.1552712008,p4p
0.0392993962,p4p
0.0094557347,p4p
0.0102068197,p4p
0.0247153742,p4p
0.0067797549,p4p
0.0985507162,p4p
0.0123199333,p4p
0.0621184600,p4p
0.1370367347,p4p
24.4277169192,real
65929.2512111393,real
5.0198273389,real
3.4994954709,real
2.9232256665,real
2.7902563444,real
3.4668517820,real
2.0159847051,real
4158.8200820162,real
1.0836087138,real
0.0082855536,p35p
0.0095125008,p35p
0.0092797030,p35p
0.0100835144,p35p
0.0092372430,p35p
0.0086047356,p35p
0.0090937575,p35p
0.0100952275,p35p
0.0107204142,p35p
0.0099824889,p35p
0.0081567096,p35p
0.0081772075,p35p
0.0081449965,p35p
0.0080073675,p35p
0.0066691459,p35p
0.0059195076,p35p
0.0059180434,p35p
0.0049195017,p35p
0.0032269589,p35p
0.0028301776,p35p
0.0029063128,p35p
0.0032679547,p35p
0.0033148071,p35p
0.0035856725,p35p
0.0030146589,p35p
0.0055637222,p35p
0.0048140838,p35p
0.0062621157,p35p
0.0056559628,p35p
0.0051581561,p35p
0.0046442439,p35p
0.0082870178,p4p
0.0095168932,p4p
0.0092870236,p4p
0.0100835144,p4p
0.0092430995,p4p
